File Path,Issue
/Volumes/Media RED/fits files/Rigault 15 Supernova/2415374296051351552/MISDR1_33982_0341-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2415374296051351552/MISDR1_33982_0341-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2416183536609394688/MISDR1_10093_0354-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2422763014190006272/MISDR1_18849_0458-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2422763014190006272/MISDR1_18849_0458-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2483983821624573952/NGA_NGC1407-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2483983821624573952/NGA_NGC1407-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2836671967443025920/MISDR2_00589_0559-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2906442577295179776/MISWZS22_20251_0162-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2906442577295179776/MISWZS22_20251_0162-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2906583314783535104/MISWZS22_20615_0261-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2906583314783535104/MISWZS22_20615_0261-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2913092423619969024/MISWZS01_17288_0267-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2913092423619969024/MISWZS01_17288_0267-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2919531163712225280/MISWZS01_17253_0267o-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2919531163712225280/MISWZS01_17253_0267o-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2928608731711143936/MISWZN11_12277_0314-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2928608731711143936/MISWZN11_12277_0314-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2932127168920027136/MISWZN15_33596_0338-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/2932127168920027136/MISWZN15_33596_0338-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3054041018207830016/GI1_039006_Coma_MOS06-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3054041018207830016/GI1_039006_Coma_MOS06-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3057137242951647232/GI1_047081_UGC07916-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3057137242951647232/GI1_047081_UGC07916-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3074166479042641920/GI1_080029_IRASF12280p0133-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3074166479042641920/GI1_080029_IRASF12280p0133-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3085003265646002176/GI2_125026_AGESstrip2_04-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3085003265646002176/GI2_125026_AGESstrip2_04-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3125043081083092992/GI3_079025_NGC5273-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3125043081083092992/GI3_079025_NGC5273-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3129159652617486336/GI3_089003_UM323-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3129159652617486336/GI3_089003_UM323-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3162092224892633088/GI4_090006_A267-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3162092224892633088/GI4_090006_A267-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3208359674390773760/GI5_028051_W2_24692_0212-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3221026048342753280/GI6_001011_GUVICS011-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3228942532062740480/GI6_012036_HRS71-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3242242224712318976/GI6_046004_Abell267-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3718603438221688832/MISGCSAN_15885_1927-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3718603438221688832/MISGCSAN_15885_1927-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3772259605657157632/MISGCSN_11390_1055-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3773807718029066240/MISGCSN_11095_1170-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3779155742586568704/MISGCSS_17641_0402-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3779155742586568704/MISGCSS_17641_0402-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3779261295702835200/MISGCSS_17640_0402-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3779261295702835200/MISGCSS_17640_0402-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3794566497561477120/MISGCSN1_03993_0085-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3797240509840228352/MISGCSN1_04159_0216-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3852515158593110016/MISGCSN3_12049_0334-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3852726264825643008/MISGCSN3_12066_0334-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3860326089196830720/MISGCSN3_00839_0100-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3865251901289267200/MISGCSN3_02033_0114-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3865392638777622528/MISGCSN3_02097_0114-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/3872148038218678272/MISGCSN3_21523_0358-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/4436822025872343040/MISGCSN1_09604_0022-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6370915810247966720/AIS_0_sg51-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6370915810247966720/AIS_0_sg51-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6370951038643470336/AIS_1_sg92-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6370951038643470336/AIS_1_sg92-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371197287372161024/AIS_8_sg53-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371197287372161024/AIS_8_sg53-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371197298109579264/AIS_8_sg63-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371197298109579264/AIS_8_sg63-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371267605650472960/AIS_10_sg06-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371267657190080512/AIS_10_sg54-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371267657190080512/AIS_10_sg54-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371267658263822336/AIS_10_sg55-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371267658263822336/AIS_10_sg55-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371338036671676416/AIS_12_sg64-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371338036671676416/AIS_12_sg64-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371338037745418240/AIS_12_sg65-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371338037745418240/AIS_12_sg65-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371725012151304192/AIS_23_sg15-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6371725012151304192/AIS_23_sg15-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372252852894564352/AIS_38_sg85-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372252852894564352/AIS_38_sg85-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372358370577350656/AIS_41_sg52-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372358370577350656/AIS_41_sg52-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372956456584478720/AIS_58_sg07-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372956456584478720/AIS_58_sg07-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372956464100671488/AIS_58_sg14-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372956464100671488/AIS_58_sg14-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372956509197828096/AIS_58_sg56-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372956509197828096/AIS_58_sg56-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372956533893890048/AIS_58_sg79-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6372956534967631872/AIS_58_sg80-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6373167622946553856/AIS_64_sg63-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6373167622946553856/AIS_64_sg63-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6373871300724654080/AIS_84_sg54-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6373871300724654080/AIS_84_sg54-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6373871301798395904/AIS_84_sg55-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6373871301798395904/AIS_84_sg55-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374117581665599488/AIS_91_sg45-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374117581665599488/AIS_91_sg45-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374152730604208128/AIS_92_sg12-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374152730604208128/AIS_92_sg12-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374258299826601984/AIS_95_sg27-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374258299826601984/AIS_95_sg27-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374258300900343808/AIS_95_sg28-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374399072748437504/AIS_99_sg60-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374399072748437504/AIS_99_sg60-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374434231350722560/AIS_100_sg36-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374434231350722560/AIS_100_sg36-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374539783393247232/AIS_103_sg35-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374539783393247232/AIS_103_sg35-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374715727802269696/AIS_108_sg56-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374715727802269696/AIS_108_sg56-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374750947607838720/AIS_109_sg89-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374750947607838720/AIS_109_sg89-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374891602418073600/AIS_113_sg12-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374891602418073600/AIS_113_sg12-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374891608860524544/AIS_113_sg18-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6374891608860524544/AIS_113_sg18-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6375102770927632384/AIS_119_sg70-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6375102770927632384/AIS_119_sg70-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6375524974802763776/AIS_131_sg62-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6375524974802763776/AIS_131_sg62-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376263785413345280/AIS_152_sg05-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376263785413345280/AIS_152_sg05-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376404588399951872/AIS_156_sg66-fd-int.fits,no skybg file
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376404588399951872/AIS_156_sg66-nd-int.fits,no skybg file
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376404589473693696/AIS_156_sg67-fd-int.fits,no skybg file
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376404589473693696/AIS_156_sg67-nd-int.fits,no skybg file
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376721231642624000/AIS_165_sg51-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376756452521934848/AIS_166_sg85-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376756452521934848/AIS_166_sg85-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376756456816902144/AIS_166_sg89-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376756456816902144/AIS_166_sg89-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376791616492929024/AIS_167_sg66-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6376791616492929024/AIS_167_sg66-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377037926424903680/AIS_174_sg84-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377037926424903680/AIS_174_sg84-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377213856875282432/AIS_179_sg92-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377213856875282432/AIS_179_sg92-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377284175153594368/AIS_181_sg45-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377284175153594368/AIS_181_sg45-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377354521349193728/AIS_183_sg24-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377354521349193728/AIS_183_sg24-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377671233311342592/AIS_192_sg73-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377671233311342592/AIS_192_sg73-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377671256933662720/AIS_192_sg95-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377671256933662720/AIS_192_sg95-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377776783206383616/AIS_195_sg70-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6377776783206383616/AIS_195_sg70-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378339675177746432/AIS_211_sg16-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378339675177746432/AIS_211_sg16-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378374903573250048/AIS_212_sg57-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378374903573250048/AIS_212_sg57-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378374914310668288/AIS_212_sg67-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378374914310668288/AIS_212_sg67-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378480396559974400/AIS_215_sg01-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378480396559974400/AIS_215_sg01-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378832286451761152/AIS_225_sg44-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378832286451761152/AIS_225_sg44-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378867518068490240/AIS_226_sg88-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378867518068490240/AIS_226_sg88-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378902667007098880/AIS_227_sg55-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6378902667007098880/AIS_227_sg55-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6379043396979261440/AIS_231_sg48-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6379043396979261440/AIS_231_sg48-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6380063743769837568/AIS_260_sg48-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6380063743769837568/AIS_260_sg48-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6380380368758898688/AIS_269_sg16-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6380380368758898688/AIS_269_sg16-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6380837777407213568/AIS_282_sg27-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6380837777407213568/AIS_282_sg27-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6380978523485503488/AIS_286_sg35-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6380978523485503488/AIS_286_sg35-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6381928469319647232/AIS_313_sg05-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6381928469319647232/AIS_313_sg05-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6382034092229132288/AIS_316_sg70-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6382034092229132288/AIS_316_sg70-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6382385933802536960/AIS_326_sg68-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6382385933802536960/AIS_326_sg68-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6382491496582479872/AIS_329_sg77-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6382491496582479872/AIS_329_sg77-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6382491497656221696/AIS_329_sg78-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6382491497656221696/AIS_329_sg78-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6382632231923351552/AIS_333_sg75-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6382632231923351552/AIS_333_sg75-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6383195157180710912/AIS_349_sg52-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6383476611756326912/AIS_357_sg33-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6383476611756326912/AIS_357_sg33-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6383758149010063360/AIS_365_sg91-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6383758149010063360/AIS_365_sg91-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6384813583535964160/AIS_395_sg01-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6384813583535964160/AIS_395_sg01-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6384989585927045120/AIS_400_sg76-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6384989585927045120/AIS_400_sg76-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6385693276590047232/AIS_420_sg79-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6385693276590047232/AIS_420_sg79-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6385798788904124416/AIS_423_sg41-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6385798788904124416/AIS_423_sg41-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6385798798567800832/AIS_423_sg50-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6385798798567800832/AIS_423_sg50-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6386889497996427264/AIS_454_sg35-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6386889497996427264/AIS_454_sg35-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6387487663460450304/AIS_471_sg64-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6387487663460450304/AIS_471_sg64-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6387487664534192128/AIS_471_sg65-nd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6388191321911197696/AIS_491_sg37-fd-int.fits,no supernova found
/Volumes/Media RED/fits files/Rigault 15 Supernova/6484622849985216512/GI6_033002_UGC1382_css40563-nd-int.fits,no supernova found
