sn,Redshift,Redshift Error,NUV Exposure Time,NUV 2kpc Luminosity,NUV 2kpc Luminosity Error,NUV 2kpc Surface Brightness,NUV 2kpc Surface Brightness Error,NUV AB Magnitude,NUV AB Magnitude Error,FUV Exposure Time,FUV 2kpc Luminosity,FUV 2kpc Luminosity Error,FUV 2kpc Surface Brightness,FUV 2kpc Surface Brightness Error,FUV AB Magnitude,FUV AB Magnitude Error
b'SN2003iv',0.034307,0.0010017810907144457,301.0,2.3658041244776237e+37,1.1994555920426496e+37,1.2059753178729796e+37,6.154082945450911e+36,23.53827054806594,0.5466099534253849,296.0,1.5177495180275697e+37,2.9571749795639737e+37,7.73677092924593e+36,1.5080951050927438e+37,24.840869288745942,2.1144427135682866
b'SN2004L',0.032309,0.0010017146574474313,385.1,2.794088833249289e+38,2.7022268052551066e+37,1.2643367930745993e+38,1.449521143846603e+37,20.72407556409042,0.07919071802834081,164.1,4.2506963627318096e+38,1.0041225581924008e+38,1.9234577453789575e+38,4.695485673214536e+37,21.089177917983267,0.24703551582140684
b'SN2004as',0.0305583,0.0010016597192474672,106.0,1.3903816041163133e+38,2.8381782672287654e+37,5.632506562799631e+37,1.2068438699087017e+37,21.35801813066619,0.20932914467996183,106.0,3.474899455058521e+38,1.0472511138768382e+38,1.4076994350141472e+38,4.340367434934055e+37,21.184149594228185,0.3190110037105092
b'SN2005eq',0.028977,0.001001612724556265,1693.05,3.290805621526017e+37,4.816203120993308e+36,1.1995532863965869e+37,1.9393437154222748e+36,22.804637149575154,0.1391665440629732,1693.05,3.017509816967163e+37,1.123147389412165e+37,1.099932428095953e+37,4.163195472112582e+36,23.71942303495445,0.3967773623717378
b'SN2005eu',0.03412,0.001001774704144612,11443.0,1.203890099204378e+38,7.815567570471733e+36,6.070643831692674e+37,5.296108105444668e+36,21.759578459637293,0.02633569097597576,4480.2,1.7256683310751525e+38,1.738599726870528e+37,8.701722704183752e+37,1.012805878320863e+37,22.189304282133392,0.08769816622854233
b'SN2005hc',0.045915,0.0010022457636173997,7823.25,8.445238625811375e+37,5.50565205030774e+36,7.671670437238494e+37,6.000282706214045e+36,22.808218278471696,0.05108058230624827,3269.9,1.4331392520216606e+38,1.9765181231740748e+37,1.3018663556264357e+38,1.8815429638985998e+37,23.054679152671078,0.14149603214981235
b'SN2005hf',0.04311,0.0010021211780837807,190.0,3.4846070066617993e+37,1.9316792134197938e+37,2.793945321334633e+37,1.55414774864554e+37,23.627997375986595,0.5996162463173518,190.0,4.8704910362320233e+36,3.3375794247770946e+37,3.9051421343260394e+36,2.676119554401666e+37,26.585102057127784,7.439993225832978
b'SN2005hj',0.057385,0.0010028366874466773,3288.1,5.27328086937697e+37,7.026869703843995e+36,7.444437512320828e+37,1.0247178468580314e+37,23.821912032974232,0.13917633078118075,3288.1,6.904063138598048e+37,1.789223149292825e+37,9.74665827395673e+37,2.548184826031425e+37,24.350004444379863,0.27858467887735044
b'SN2005iq',0.034044,0.0010017721184980269,112.0,9.627463676909021e+37,2.630159883803285e+37,4.833229662869249e+37,1.3502495834352208e+37,21.997300334551102,0.289288481825575,112.0,1.6349314164947555e+38,7.9097798619906145e+37,8.207768197465996e+37,3.9997454653885766e+37,22.242983246683163,0.521175311436636
b'SN2005ir',0.076023,0.0010040756345978247,2410.1,3.467491304419955e+38,2.387001842259229e+37,8.519780281690298e+38,6.268207310769827e+37,22.416672959115523,0.06836214931393465,2410.1,6.2920553757334255e+38,7.602033353416676e+37,1.5459859770418225e+39,1.910490567272943e+38,22.5903821086336,0.1276511098251618
b'SN2005lz',0.040001,0.0010019922472080433,105.0,-1.3880738128297354e+37,1.9794963096943838e+37,-9.59530676866244e+36,1.3691912509348683e+37,nan,-1.5473272064774086,,,,,,,
b'SN2005mc',0.026006,0.0010015311755008052,1616.0,4.325622105210877e+37,5.311076774156311e+36,1.2716604499846362e+37,1.8401996863013232e+36,22.268005636905833,0.10247000800929311,1616.0,2.0511334076470863e+37,8.18983183739498e+36,6.029988678402724e+36,2.4515612682719396e+36,23.898794344523385,0.4250473607393503
b'SN2005ms',0.0270878,0.0010015598496210122,2805.15,4.650924639975473e+36,2.2868768612826612e+36,1.482711449961381e+36,7.371570487981016e+35,24.779554046284396,0.5275361650016334,216.0,-9.958536765120313e+36,1.0538739989809157e+37,-3.174774400684146e+36,3.367838590916021e+36,nan,-1.1460684348346006
b'SN2006S',0.0340003,0.0010017706343590407,213.0,0.0,0.0,0.0,0.0,inf,nan,213.0,0.0,0.0,0.0,0.0,inf,nan
b'SN2006ac',0.023106,0.0010014600694486149,213.0,2.8245937799605675e+38,3.150289899429499e+37,6.563439047068862e+37,9.253623816692176e+36,19.969222909865664,0.07410968089206592,213.0,4.551430217519002e+38,7.363465419382787e+37,1.057604637580501e+38,1.9389752436311632e+37,20.271895222885295,0.14725203541077628
b'SN2006ak',0.0381,0.001001918157068742,959.0,8.463435573275925e+37,1.026364261530586e+37,5.312090201032335e+37,7.012432736516168e+36,22.388197197643816,0.11784901450672913,112.0,5.162849664044893e+37,5.438122712742942e+37,3.2404716586222455e+37,3.4174284294151424e+37,23.74549226953514,1.1421170614152973
b'SN2006al',0.067849,0.0010034898456212822,1575.0,-3.369819084040444e+36,7.358740422916673e+36,-6.619328288655245e+36,1.445604376780139e+37,nan,-2.3707045184359266,1575.0,1.4647627326529282e+37,1.9305314015853176e+37,2.8772302460796205e+37,3.7930647078425477e+37,26.413372501015886,1.4305850188974465
b'SN2006an',0.0640618,0.001003240897134514,1679.4,6.97250604886181e+36,7.149186343611446e+36,1.2230526303087118e+37,1.2546125410454994e+37,26.268073730486535,1.112680021725047,93.0,-7.993639493492954e+36,3.488049420571392e+37,-1.4021704305085674e+37,6.118567348151351e+37,nan,-4.7375101520394285
b'SN2006az',0.0275947,0.0010015736872203236,187.0,8.61738927715767e+37,1.6345112712409247e+37,2.850365465732672e+37,5.784412572181593e+36,21.651053190319203,0.189571466539844,187.0,7.391499591797422e+37,3.516655869811495e+37,2.4448791274038473e+37,1.1765010263991615e+37,22.638313115371524,0.5102569600655297
b'SN2006bd',0.02572,0.001001523789964085,1661.05,1.4228919354579456e+37,3.128022265354262e+36,4.0920756154847295e+36,9.53766734319789e+35,23.450714757367685,0.22257407314701672,1661.05,4.7527240797030327e+36,5.421490781183283e+36,1.3668294709549076e+36,1.5627479229016728e+36,25.461940085500856,1.2355092045968556
b'SN2006bt',0.03193,0.00100170250492051,205.0,-5.96650083103103e+36,8.370614089604621e+36,-2.6373354136340168e+36,3.7036574628760216e+36,nan,-1.5216195904433265,77.0,-1.4668841314277536e+37,2.529716191871903e+37,-6.483977086522373e+36,1.1189242677070654e+37,nan,-1.8711075118899043
b'SN2006bu',0.084001,0.0010047111781328127,2600.15,7.955309775552208e+36,8.189162264083423e+36,2.377840014567108e+37,2.4483743723789686e+37,26.743890617465567,1.1173141177745565,1675.0,-1.518007549068922e+36,1.5410616913044494e+37,-4.5373206002408267e+36,4.606241676834713e+37,nan,-11.022219678287744
b'SN2006bw',0.030002,0.0010016429021702418,1696.0,2.583691072727042e+36,3.081750380333921e+36,1.009151322601928e+36,1.2055457398805959e+36,25.644449254155482,1.2929105949681599,1696.0,-2.3039649903107655e+36,5.983348024208959e+36,-8.998944733538119e+35,2.3377689847171846e+36,nan,-2.8186591440206503
b'SN2006bz',0.027906,0.0010015823122939145,25656.55,9.842858666780837e+36,1.0345388861547872e+36,3.329129586290811e+36,4.229048362365721e+35,24.03155861371524,0.08179392697388241,18620.45,4.9317748100615813e+36,1.7196323081320173e+36,1.6680639221724722e+36,5.9367749425402736e+35,25.602505679717808,0.37012126089509245
b'SN2006cc',0.032529,0.0010017217773938152,340.0,0.0,0.0,0.0,0.0,inf,nan,904.95,8.741148688929585e+37,2.113748508222092e+37,4.0090686809332285e+37,9.999722723196131e+36,22.821500634746016,0.253455124485058
b'SN2006cf',0.0422998,0.001002086651215385,1533.05,2.3612418999530186e+38,1.6853647002799833e+37,1.8233948890826423e+38,1.5576579115372905e+37,21.508033802392404,0.05649224098841403,104.0,3.405640702845502e+38,1.440811618283509e+38,2.62989905936527e+38,1.1194480651067775e+38,21.931039974185186,0.45626471972584587
b'SN2006cg',0.028063,0.001001586698909797,1391.55,1.5958716475603508e+37,3.590447488731747e+36,5.458213969742284e+36,1.2876102666567404e+36,23.519306345004114,0.23109726574606987,1909.95,1.2462830514080695e+37,6.214181326203279e+36,4.262548038777234e+36,2.146783781586743e+36,24.60841155856565,0.5355508521514135
b'SN2006cj',0.06752,0.0010034676546177383,2568.3,0.0,0.0,0.0,0.0,inf,nan,1690.05,0.0,0.0,0.0,0.0,inf,nan
b'SN2006cq',0.0521626,0.0010025514053168469,1660.05,6.686133911679081e+37,9.152953752294293e+36,7.817322073937452e+37,1.110599748594978e+37,23.348755065462278,0.14217825248840368,1660.05,7.983723715775124e+37,2.3227719567200603e+37,9.334443560355424e+37,2.7388069592989885e+37,23.97683103157762,0.3128978147248736
b'SN2006cs',0.023676,0.001001473382791587,1696.0,1.0043876402527262e+37,2.522392768206766e+36,2.4498293476089727e+36,6.4887133155586116e+35,23.645716493595938,0.25613661873109433,106.0,2.430230937016016e+37,2.659823239550283e+37,5.927642707223097e+36,6.506799705469429e+36,23.50700306833871,1.184625242774011
b'SN2006en',0.0311307,0.0010016773452297474,1706.0,0.0,0.0,0.0,0.0,inf,nan,267.0,0.0,0.0,0.0,0.0,inf,nan
b'SN2006gj',0.02829,0.0010015930848223866,224.0,1.4851794076640105e+37,1.0292417015777017e+37,5.161620028736641e+36,3.59543953600995e+36,23.615219647006803,0.7483161566631498,224.0,2.8979886070386154e+37,3.1426879823312627e+37,1.0071723294809586e+37,1.094512721000843e+37,23.710077298345677,1.1747922169210268
b'SN2006gt',0.044771,0.0010021940061210827,3007.05,0.0,0.0,0.0,0.0,inf,nan,3007.05,0.0,0.0,0.0,0.0,inf,nan
b'SN2006mo',0.036999,0.0010018768933681545,1704.0,3.122818915844528e+37,5.544978835377781e+36,1.8492954429579672e+37,3.4306318634466324e+36,23.405244532833496,0.18307465761905883,1616.0,1.814406790099291e+37,1.252437219838738e+37,1.0744696695598158e+37,7.439203547956636e+36,24.815426918268393,0.7470157403963653
b'SN2006nz',0.03816,0.0010019204404861817,11718.1,3.729788535338971e+37,2.910319929156793e+36,2.348325265451761e+37,2.2028960056417968e+36,23.281367139360796,0.061154408020483886,4684.2,3.106035287878538e+37,7.517495507813133e+36,1.9556017915763723e+37,4.841412308886928e+36,24.300713738159907,0.25615522599815344
b'SN2006oa',0.062573,0.00100314693031132,3112.0,0.0,0.0,0.0,0.0,inf,nan,3112.0,0.0,0.0,0.0,0.0,inf,nan
b'SN2006ob',0.058596,0.0010029067128502155,3279.65,5.819055875226272e+37,7.309162525460882e+36,8.56067403284843e+37,1.1134973610818846e+37,23.76222961088983,0.130759206177268,3279.65,8.289795222121976e+37,1.9295296847128292e+37,1.2195489477559122e+38,2.868361515118821e+37,24.198653461145156,0.24972902364232646
b'SN2006on',0.071915,0.0010037729577394604,3934.95,1.730397211267185e+37,6.800019212856577e+36,3.8116371263242767e+37,1.5015295584729262e+37,25.544422683103967,0.4254760246437714,3934.95,-3.4532575923207423e+36,1.6004793241289838e+37,-7.606672479558531e+36,3.525522045502223e+37,nan,-5.031954578226096
b'SN2006os',0.032081,0.001001707329525458,110.0,5.209128947787672e+37,2.272043662909515e+37,2.3242344134751405e+37,1.0239448729679914e+37,22.532014295235857,0.46844325486572247,110.0,5.18784936342809e+37,5.988947087559002e+37,2.3147397853388965e+37,2.676029533591614e+37,23.35711071085186,1.2514688883710956
b'SN2006te',0.031592,0.0010016917878908785,1704.0,1.316777539220801e+38,1.0967071955668532e+37,5.69874114152995e+37,5.950339367213939e+36,21.490996205844112,0.056652199356387475,,,,,,,
b'SN2007F',0.0240137,0.0010014814233183333,205.05,2.209175088629904e+38,2.617890063027052e+37,5.5424532730861505e+37,8.017729562441628e+36,20.321204352169595,0.08972768542069141,112.0,3.442540586720701e+38,8.33442253838387e+37,8.636762400953588e+37,2.2103535507907037e+37,20.66023406081411,0.246153806633448
b'SN2007O',0.036212,0.0010018481383962466,183.0,4.918741054792523e+38,5.101383950056797e+37,2.791187740930733e+38,3.275270476072658e+37,20.364017012903197,0.09419886504769466,183.0,6.3837268972227644e+38,1.3038890472408435e+38,3.622508291957555e+38,7.661574514810298e+37,20.901618203044066,0.21300864585005744
b'SN2007R',0.0304169,0.0010016554154346866,1687.7,3.156584259308105e+38,2.333889417338819e+37,1.2670202081593946e+38,1.2508720968628598e+37,20.457507889446106,0.03308313234854247,211.05,3.793458262828044e+38,8.029853559147262e+37,1.5226548328749129e+38,3.373527292302914e+37,21.078615118674243,0.217875170396607
b'SN2007ae',0.0583448,0.0010028920675481806,1675.05,5.286658543909998e+37,9.924299128029392e+36,7.711764648760073e+37,1.4711364597061707e+37,23.856685117315166,0.20007212891261594,266.0,4.270587119064225e+37,6.208116805983041e+37,6.229598999199199e+37,9.058382464428178e+37,24.909071343531203,1.577846272097128
b'SN2007ar',0.052933,0.0010025917843035743,251.15,3.3258861527827404e+37,1.8544227530650905e+37,4.0029119691083555e+37,2.2369385470202875e+37,24.13997799215548,0.6038679939545694,251.15,-9.158872165213159e+36,1.8625819427614812e+37,-1.1023275400750022e+37,2.2421136254076503e+37,nan,-2.2075799269514365
b'SN2007ba',0.03805,0.0010019162569616408,2270.0,7.815566371948809e+37,7.241427691121589e+36,4.892695047433524e+37,5.2037196841616544e+36,22.471730558524253,0.08162777915102093,2857.1,6.541432339131261e+37,1.3090646344948592e+37,4.0950626078310073e+37,8.469421655685355e+36,23.485601601621315,0.20917033836931237
b'SN2007bd',0.03044,0.001001656117169972,109.0,6.165648925300457e+37,2.0875256701224604e+37,2.4785628860253893e+37,8.54674966867273e+36,22.232290542505307,0.3602624880127201,109.0,-1.4683015492391384e+37,2.0266995885606577e+37,-5.902505591105099e+36,8.156372480821348e+36,nan,-1.4968605830813222
b'SN2007cg',0.033196,0.0010017436587670644,208.0,0.0,0.0,0.0,0.0,inf,nan,96.0,0.0,0.0,0.0,0.0,inf,nan
b'SN2008af',0.033507,0.0010017540129757527,1620.0,1.30292541646972e+36,3.2274196926859146e+36,6.3377858695260685e+35,1.570355884371884e+36,26.633384339804486,2.6886063355541143,73.0,2.644181792073759e+36,3.6898206708900967e+37,1.2862024016439662e+36,1.7948460089455798e+37,26.685606992354653,15.150748180954174
b'SN2008bf',0.0231404,0.0010014608637266783,105.0,8.377548830792152e+36,1.0175391518871547e+37,1.9524417605259074e+36,2.377393751307851e+36,23.792107652124884,1.3152661760980164,105.0,-1.1680506317466885e+37,1.3945419478442294e+37,-2.7222172951694537e+36,3.258513702950182e+36,nan,-1.2927342603831466
